,Brand,Price,Panel_Type,Display,Screen_Resolution,Brightness,Response_Time,Refresh_Rate
153,Samsung,"₹21,299",IPS Panel,68.58 cm,Quad HD,350 nits,1 ms,180 Hz
154,LG,"₹13,499",IPS Panel,62.23 cm,Full HD,200 nits,5 ms,60 Hz
155,Frontech,"₹8,560",VA Panel,68.58 cm,Full HD,250 nits,1 ms,75 Hz
156,Acer,"₹14,999",IPS Panel,62.23 cm,Full HD,,1 ms,300 Hz
157,Acer,"₹15,999",IPS Panel,68.58 cm,WQHD,350 nits,,180 Hz
158,MarQ,"₹7,499",VA Panel,68.58 cm,Full HD,250 nits,5 ms,100 Hz
159,Samsung,"₹31,499",VA Panel,80.0 cm,4K Ultra HD,300 nits,4 ms,60 Hz
160,Samsung,"₹19,699",IPS Panel,68.58 cm,4K Ultra HD,350 nits,5 ms,60 Hz
161,ZEBRONICS,"₹27,999",VA Panel,86.36 cm,WQHD,350 nits,1 ms,180 Hz
162,Samsung,"₹10,199",IPS Panel,68.58 cm,Full HD,250 nits,4 ms,100 Hz
163,LG,"₹8,349",IPS Panel,62.23 cm,Full HD,250 nits,5 ms,100 Hz
164,Acer,"₹18,595",VA Panel,80.01 cm,Full HD,300 nits,1 ms,240 Hz
165,MarQ,"₹6,999",VA Panel,60.96 cm,Full HD,250 nits,5 ms,100 Hz
166,Samsung,"₹15,199",VA Panel,68.6 cm,Full HD,250 nits,4 ms,60 Hz
167,ViewSonic,"₹18,999",IPS Panel,68.58 cm,4K Ultra HD,250 nits,4 ms,60 Hz
168,MSI,"₹6,545",VA Panel,55.88 cm,Full HD,,1 ms,100 Hz
169,Samsung,"₹17,699",VA Panel,81.28 cm,Full HD,,4 ms,60 Hz
170,Frontech,"₹2,763",VA Panel,50.8 cm,HD,250 nits,3 ms,60 Hz
171,Samsung,"₹7,699",IPS Panel,60.96 cm,Full HD,250 nits,4 ms,100 Hz
172,Frontech,"₹2,699",TN Panel,50.8 cm,HD,,5 ms,60 Hz
173,PHILIPS,"₹5,999",VA Panel,55.88 cm,Full HD,250 nits,4 ms,75 Hz
